time_s,setpoint,T1_measured,T2_measured,Tmean_measured,T1_equilibrium_from_steady,T2_equilibrium_from_steady,Tmean_equilibrium_from_steady,T1_dynamic_fit,T2_dynamic_fit,Tmean_dynamic_fit,Tsurface_final_model_from_setpoint,Tmean_minus_final_model_C
103.0,45.0,44.0,44.2,44.1,48.52215995440731,48.91931041033436,48.72073518237084,46.43615447159551,46.510503931048326,46.46829915604318,46.46829915604318,-2.3682991560431788
104.0,45.0,44.2,44.2,44.2,48.52215995440731,48.91931041033436,48.72073518237084,46.55132341480764,46.63263046441803,46.58718723780711,46.58718723780711,-2.3871872378071046
105.0,45.0,44.3,44.3,44.3,48.52215995440731,48.91931041033436,48.72073518237084,46.66013384861513,46.74856518027099,46.69980016865873,46.69980016865873,-2.399800168658736
106.0,45.0,44.3,44.3,44.3,48.52215995440731,48.91931041033436,48.72073518237084,46.76293682809169,46.85862200387063,46.80646916362305,46.80646916362305,-2.506469163623052
107.0,45.0,44.2,44.3,44.25,48.52215995440731,48.91931041033436,48.72073518237084,46.860064026462716,46.963098944463695,46.907507955533084,46.907507955533084,-2.6575079555330845
108.0,45.0,44.1,44.3,44.2,48.52215995440731,48.91931041033436,48.72073518237084,46.951828805182544,47.06227890222255,47.00321371777501,47.00321371777501,-2.8032137177750087
109.0,45.0,44.2,44.4,44.3,48.52215995440731,48.91931041033436,48.72073518237084,47.038527224932395,47.15643043427556,47.09386793832887,47.09386793832887,-2.793867938328873
110.0,45.0,44.4,44.4,44.4,48.52215995440731,48.91931041033436,48.72073518237084,47.1204390008009,47.24580848189969,47.17973724767572,47.17973724767572,-2.779737247675719
111.0,45.0,44.4,44.4,44.4,48.52215995440731,48.91931041033436,48.72073518237084,47.19782840472881,47.330655060844386,47.26107420300615,47.26107420300615,-2.8610742030061544
112.0,45.0,44.3,44.5,44.4,48.52215995440731,48.91931041033436,48.72073518237084,47.270945118129475,47.41119991665611,47.33811803103676,47.33811803103676,-2.9381180310367583
113.0,45.0,44.2,44.5,44.35,48.52215995440731,48.91931041033436,48.72073518237084,47.34002503743593,47.48766114677784,47.41109533161919,47.41109533161919,-3.0610953316191853
114.0,45.0,44.2,44.5,44.35,48.52215995440731,48.91931041033436,48.72073518237084,47.4052910351735,47.560245791108116,47.4802207442114,47.4802207442114,-3.1302207442113996
115.0,45.0,44.3,44.5,44.4,48.52215995440731,48.91931041033436,48.72073518237084,47.466953679013365,47.62915039261878,47.54569757917114,47.54569757917114,-3.1456975791711415
116.0,45.0,44.5,44.5,44.5,48.52215995440731,48.91931041033436,48.72073518237084,47.52521191112699,47.69456152954935,47.60771841572855,47.60771841572855,-3.1077184157285487
117.0,45.0,44.5,44.6,44.55,48.52215995440731,48.91931041033436,48.72073518237084,47.58025369003317,47.756656320619086,47.666465668396555,47.666465668396555,-3.1164656683965575
118.0,45.0,44.4,44.5,44.45,48.52215995440731,48.91931041033436,48.72073518237084,47.63225659700858,47.815602904624924,47.722112123484976,47.722112123484976,-3.2721121234849733
119.0,45.0,44.3,44.5,44.4,48.52215995440731,48.91931041033436,48.72073518237084,47.6813884090182,47.87156089572364,47.774821447296375,47.774821447296375,-3.3748214472963767
120.0,45.0,44.2,44.5,44.35,48.52215995440731,48.91931041033436,48.72073518237084,47.72780764001407,47.924681815631295,47.82474866749828,47.82474866749828,-3.4747486674982753
121.0,45.0,44.4,44.5,44.45,48.52215995440731,48.91931041033436,48.72073518237084,47.77166405234884,47.975109503910126,47.87204062908762,47.87204062908762,-3.4220406290876184
122.0,45.0,44.5,44.6,44.55,48.52215995440731,48.91931041033436,48.72073518237084,47.813099139953984,48.02298050745388,47.916836426288505,47.916836426288505,-3.3668364262885078
123.0,45.0,44.5,44.6,44.55,48.52215995440731,48.91931041033436,48.72073518237084,47.85224658484164,48.06842445022625,47.95926781165347,47.95926781165347,-3.4092678116534714
124.0,45.0,44.4,44.6,44.5,48.52215995440731,48.91931041033436,48.72073518237084,47.88923268840286,48.11156438425356,47.99945958357163,47.99945958357163,-3.4994595835716282
125.0,45.0,44.3,44.6,44.45,48.52215995440731,48.91931041033436,48.72073518237084,47.92417677889376,48.1525171228221,48.037529953323336,48.037529953323336,-3.587529953323333
126.0,45.0,44.3,44.6,44.45,48.52215995440731,48.91931041033436,48.72073518237084,47.9571915964242,48.191393556782366,48.07359089276097,48.07359089276097,-3.6235908927609657
127.0,45.0,44.3,44.6,44.45,48.52215995440731,48.91931041033436,48.72073518237084,47.98838365669123,48.22829895481668,48.107748463638416,48.107748463638416,-3.6577484636384128
128.0,45.0,44.4,44.6,44.5,48.52215995440731,48.91931041033436,48.72073518237084,48.017853594630594,48.2633332484832,48.14010312955791,48.14010312955791,-3.6401031295579074
129.0,45.0,44.4,44.6,44.5,48.52215995440731,48.91931041033436,48.72073518237084,48.04569648909526,48.29659130280823,48.17075005145168,48.17075005145168,-3.6707500514516767
130.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.07200216960825,48.32816317315947,48.199779367467485,48.199779367467485,-3.599779367467484
131.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.09685550617961,48.35813434909579,48.22727645808124,48.22727645808124,-3.6272764580812407
